frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,6.615515e-01,7.353333e+01,4.841218e-12,1.178967e-02,1.024679e-01,-4.576666e+00
1,0.008345,7.153738e-01,1.470667e+02,1.327125e-11,2.571366e-02,1.289824e-01,-4.160834e+00
2,0.016689,7.918196e-01,2.169565e+02,3.654398e-09,1.116914e-01,1.674952e-01,-3.617922e+00
3,0.025034,8.610063e-01,2.079707e+02,2.055406e-06,6.748819e-01,2.119456e-01,-3.130259e+00
4,0.033379,8.982656e-01,1.995928e+02,2.107268e-06,8.517196e-01,2.532079e-01,-2.767861e+00
5,0.041723,9.132896e-01,1.945921e+02,3.543044e-06,1.282719e+00,2.926741e-01,-2.466774e+00
6,0.050068,9.152033e-01,1.926272e+02,3.924916e-06,1.312928e+00,3.261976e-01,-2.246626e+00
7,0.058413,9.149781e-01,1.908673e+02,2.164084e-05,2.220932e+00,3.505040e-01,-2.099454e+00
8,0.066757,9.181822e-01,1.902007e+02,2.029814e-05,1.933928e+00,3.695985e-01,-1.991473e+00
9,0.075102,9.240954e-01,1.924063e+02,1.808781e-05,1.624320e+00,3.782009e-01,-1.945019e+00
10,0.083447,9.278376e-01,1.940846e+02,3.380407e-05,1.854376e+00,3.793690e-01,-1.938702e+00
11,0.091791,9.275590e-01,1.949358e+02,4.201408e-05,2.499073e+00,3.710661e-01,-1.983524e+00
12,0.100136,9.249797e-01,1.952212e+02,5.779982e-05,3.268430e+00,3.530900e-01,-2.084579e+00
13,0.108481,9.223621e-01,1.952212e+02,8.028623e-05,3.489862e+00,3.303169e-01,-2.220013e+00
14,0.116825,9.170187e-01,1.952212e+02,7.554681e-05,3.293954e+00,3.007624e-01,-2.409621e+00
15,0.125170,9.097019e-01,1.952212e+02,7.633655e-05,3.309449e+00,2.677222e-01,-2.648203e+00
16,0.133515,9.064438e-01,1.946554e+02,3.016578e-05,2.678330e+00,2.360434e-01,-2.898819e+00
17,0.141859,9.090678e-01,1.932480e+02,2.824242e-05,2.537567e+00,2.065315e-01,-3.164320e+00
18,0.150204,9.130802e-01,1.905086e+02,1.252223e-05,1.931233e+00,1.857193e-01,-3.375076e+00
19,0.158549,9.107687e-01,1.872785e+02,3.863077e-06,1.494214e+00,1.713870e-01,-3.529242e+00
20,0.166893,9.043109e-01,1.851473e+02,3.746926e-06,1.482516e+00,1.684602e-01,-3.562398e+00
21,0.175238,8.994190e-01,1.843483e+02,2.681216e-06,1.133971e+00,1.759869e-01,-3.478290e+00
22,0.183583,8.977933e-01,1.843483e+02,2.839334e-06,1.153119e+00,1.880558e-01,-3.346223e+00
23,0.191927,8.925809e-01,1.859888e+02,2.059504e-06,1.051612e+00,2.035854e-01,-3.186584e+00
24,0.200272,8.812783e-01,1.895273e+02,5.792890e-06,1.614859e+00,2.195662e-01,-3.036937e+00
25,0.208617,8.737404e-01,1.933233e+02,7.209759e-06,1.739017e+00,2.376281e-01,-2.878141e+00
26,0.216961,8.805464e-01,1.961086e+02,1.582785e-05,2.220961e+00,2.568616e-01,-2.722094e+00
27,0.225306,8.941723e-01,1.978833e+02,2.345608e-05,2.493317e+00,2.723424e-01,-2.603458e+00
28,0.233651,9.053407e-01,1.996581e+02,2.260848e-05,2.426913e+00,2.815410e-01,-2.535122e+00
29,0.241995,9.056203e-01,2.005455e+02,2.139024e-05,2.389790e+00,2.806646e-01,-2.541492e+00
30,0.250340,8.981020e-01,2.005455e+02,4.541806e-05,2.779848e+00,2.695154e-01,-2.624752e+00
31,0.258685,8.821404e-01,2.005455e+02,4.400773e-05,2.587409e+00,2.518288e-01,-2.763034e+00
32,0.267029,8.642578e-01,2.005455e+02,4.047751e-05,2.451191e+00,2.238088e-01,-3.007472e+00
33,0.275374,8.566260e-01,2.002443e+02,1.304461e-05,1.963835e+00,1.882254e-01,-3.375877e+00
34,0.283719,8.124738e-01,1.990558e+02,1.261623e-05,1.757876e+00,1.512578e-01,-3.814121e+00
35,0.292063,7.350170e-01,1.972811e+02,8.002427e-06,1.111504e+00,1.247569e-01,-4.175999e+00
36,0.300408,7.122135e-01,1.952416e+02,3.398418e-06,9.146452e-01,1.185976e-01,-4.267085e+00
37,0.308753,7.526872e-01,1.921915e+02,3.511578e-06,1.012292e+00,1.379593e-01,-4.002609e+00
38,0.317098,8.193743e-01,1.889149e+02,3.539651e-06,1.090084e+00,1.692926e-01,-3.591659e+00
39,0.325442,8.124502e-01,1.869897e+02,1.214822e-06,8.921080e-01,1.978923e-01,-3.245879e+00
40,0.333787,7.803436e-01,1.869625e+02,1.095779e-06,7.839939e-01,2.100447e-01,-3.121261e+00
41,0.342132,7.579727e-01,1.874818e+02,1.066719e-06,6.986750e-01,2.122658e-01,-3.099863e+00
42,0.350476,7.642499e-01,1.872155e+02,1.512997e-05,1.276155e+00,2.106393e-01,-3.115386e+00
43,0.358821,8.073247e-01,1.864299e+02,2.588376e-05,2.071732e+00,1.995026e-01,-3.228648e+00
44,0.367166,8.516554e-01,1.846440e+02,2.855531e-05,2.614791e+00,1.875250e-01,-3.353138e+00
